# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
1.0041682e-05  	-2.65879540e-03	3.71568045e-06
1.0041869e-05  	-2.65891236e-03	3.71583340e-06
1.0042055e-05  	-2.65902985e-03	3.71598711e-06
1.0042242e-05  	-2.65914786e-03	3.71614160e-06
1.0042428e-05  	-2.65926640e-03	3.71629684e-06
1.0042615e-05  	-2.65938548e-03	3.71645286e-06
1.0042801e-05  	-2.65950507e-03	3.71660966e-06
1.0042988e-05  	-2.65962516e-03	3.71676717e-06
1.0043174e-05  	-2.65974577e-03	3.71692543e-06
1.0043361e-05  	-2.65986690e-03	3.71708447e-06
1.0043547e-05  	-2.65998854e-03	3.71724423e-06
1.0043734e-05  	-2.66011070e-03	3.71740474e-06
1.004392e-05   	-2.66023337e-03	3.71756601e-06
1.0044107e-05  	-2.66035657e-03	3.71772801e-06
1.0044293e-05  	-2.66048030e-03	3.71789077e-06
1.004448e-05   	-2.66060455e-03	3.71805430e-06
1.0044666e-05  	-2.66072934e-03	3.71821857e-06
1.0044853e-05  	-2.66085466e-03	3.71838361e-06
1.0045039e-05  	-2.66098051e-03	3.71854939e-06
1.0045226e-05  	-2.66110688e-03	3.71871589e-06
1.0045412e-05  	-2.66123377e-03	3.71888315e-06
1.0045599e-05  	-2.66136116e-03	3.71905113e-06
1.0045785e-05  	-2.66148912e-03	3.71921979e-06
1.0045972e-05  	-2.66161763e-03	3.71938915e-06
1.0046158e-05  	-2.66174657e-03	3.71955914e-06
1.0046345e-05  	-2.66187596e-03	3.71972978e-06
1.0046532e-05  	-2.66200585e-03	3.71990114e-06
1.0046718e-05  	-2.66213624e-03	3.72007326e-06
1.0046905e-05  	-2.66226700e-03	3.72024591e-06
1.0047091e-05  	-2.66239826e-03	3.72041925e-06
1.0047278e-05  	-2.66253008e-03	3.72059333e-06
1.0047464e-05  	-2.66266252e-03	3.72076814e-06
1.0047651e-05  	-2.66279541e-03	3.72094364e-06
1.0047838e-05  	-2.66292873e-03	3.72111988e-06
1.0048024e-05  	-2.66306256e-03	3.72129683e-06
1.0048211e-05  	-2.66319692e-03	3.72147447e-06
1.0048397e-05  	-2.66333181e-03	3.72165294e-06
1.0048584e-05  	-2.66346726e-03	3.72183220e-06
1.0048771e-05  	-2.66360328e-03	3.72201218e-06
1.0048957e-05  	-2.66373993e-03	3.72219295e-06
1.0049144e-05  	-2.66387714e-03	3.72237450e-06
1.004933e-05   	-2.66401493e-03	3.72255682e-06
1.0049517e-05  	-2.66415334e-03	3.72274010e-06
1.0049704e-05  	-2.66429234e-03	3.72292425e-06
1.004989e-05   	-2.66443188e-03	3.72310911e-06
1.0050077e-05  	-2.66457197e-03	3.72329470e-06
1.0050264e-05  	-2.66471263e-03	3.72348108e-06
1.005045e-05   	-2.66485383e-03	3.72366822e-06
1.0050637e-05  	-2.66499556e-03	3.72385610e-06
1.0050824e-05  	-2.66513781e-03	3.72404468e-06
1.005101e-05   	-2.66528058e-03	3.72423398e-06
1.0051197e-05  	-2.66542384e-03	3.72442398e-06
1.0051384e-05  	-2.66556758e-03	3.72461462e-06
1.005157e-05   	-2.66571179e-03	3.72480592e-06
1.0051757e-05  	-2.66585647e-03	3.72499785e-06
1.0051944e-05  	-2.66600164e-03	3.72519045e-06
1.005213e-05   	-2.66614729e-03	3.72538370e-06
1.0052317e-05  	-2.66629340e-03	3.72557756e-06
1.0052504e-05  	-2.66643999e-03	3.72577207e-06
1.005269e-05   	-2.66658706e-03	3.72596722e-06
1.0052877e-05  	-2.66673463e-03	3.72616312e-06
1.0053064e-05  	-2.66688271e-03	3.72635966e-06
1.005325e-05   	-2.66703130e-03	3.72655685e-06
1.0053437e-05  	-2.66718042e-03	3.72675473e-06
1.0053624e-05  	-2.66733005e-03	3.72695326e-06
1.0053811e-05  	-2.66748019e-03	3.72715246e-06
1.0053997e-05  	-2.66763085e-03	3.72735233e-06
1.0054184e-05  	-2.66778202e-03	3.72755287e-06
1.0054371e-05  	-2.66793371e-03	3.72775413e-06
1.0054557e-05  	-2.66808592e-03	3.72795605e-06
1.0054744e-05  	-2.66823863e-03	3.72815860e-06
1.0054931e-05  	-2.66839186e-03	3.72836182e-06
1.0055118e-05  	-2.66854560e-03	3.72856568e-06
1.0055304e-05  	-2.66869986e-03	3.72877020e-06
1.0055491e-05  	-2.66885461e-03	3.72897535e-06
1.0055678e-05  	-2.66900988e-03	3.72918116e-06
1.0055865e-05  	-2.66916564e-03	3.72938758e-06
1.0056051e-05  	-2.66932190e-03	3.72959463e-06
1.0056238e-05  	-2.66947865e-03	3.72980228e-06
1.0056425e-05  	-2.66963589e-03	3.73001059e-06
1.0056612e-05  	-2.66979363e-03	3.73021952e-06
1.0056798e-05  	-2.66995188e-03	3.73042911e-06
1.0056985e-05  	-2.67011064e-03	3.73063935e-06
1.0057172e-05  	-2.67026993e-03	3.73085023e-06
1.0057359e-05  	-2.67042973e-03	3.73106180e-06
1.0057545e-05  	-2.67059005e-03	3.73127401e-06
1.0057732e-05  	-2.67075090e-03	3.73148694e-06
1.0057919e-05  	-2.67091235e-03	3.73170056e-06
1.0058106e-05  	-2.67107447e-03	3.73191460e-06
1.0058292e-05  	-2.67123711e-03	3.73212910e-06
1.0058479e-05  	-2.67140030e-03	3.73234441e-06
1.0058666e-05  	-2.67156401e-03	3.73256050e-06
1.0058853e-05  	-2.67172826e-03	3.73277738e-06
1.0059039e-05  	-2.67189307e-03	3.73299510e-06
1.0059226e-05  	-2.67205842e-03	3.73321365e-06
1.0059413e-05  	-2.67222433e-03	3.73343301e-06
1.00596e-05    	-2.67239078e-03	3.73365321e-06
1.0059786e-05  	-2.67255778e-03	3.73387421e-06
1.0059973e-05  	-2.67272532e-03	3.73409605e-06
1.006016e-05   	-2.67289340e-03	3.73431871e-06
1.0060347e-05  	-2.67306202e-03	3.73454220e-06
1.0060534e-05  	-2.67323119e-03	3.73476654e-06
1.006072e-05   	-2.67340093e-03	3.73499173e-06
1.0060907e-05  	-2.67357122e-03	3.73521771e-06
1.0061094e-05  	-2.67374205e-03	3.73544448e-06
1.0061281e-05  	-2.67391345e-03	3.73567203e-06
1.0061467e-05  	-2.67408541e-03	3.73590035e-06
1.0061654e-05  	-2.67425794e-03	3.73612944e-06
1.0061841e-05  	-2.67443104e-03	3.73635929e-06
1.0062028e-05  	-2.67460471e-03	3.73658989e-06
1.0062215e-05  	-2.67477895e-03	3.73682128e-06
1.0062401e-05  	-2.67495376e-03	3.73705342e-06
1.0062588e-05  	-2.67512912e-03	3.73728639e-06
1.0062775e-05  	-2.67530505e-03	3.73752013e-06
1.0062962e-05  	-2.67548156e-03	3.73775464e-06
1.0063149e-05  	-2.67565864e-03	3.73798994e-06
1.0063335e-05  	-2.67583629e-03	3.73822602e-06
1.0063522e-05  	-2.67601450e-03	3.73846289e-06
1.0063709e-05  	-2.67619330e-03	3.73870056e-06
1.0063896e-05  	-2.67637271e-03	3.73893905e-06
1.0064083e-05  	-2.67655271e-03	3.73917833e-06
1.0064269e-05  	-2.67673328e-03	3.73941844e-06
1.0064456e-05  	-2.67691445e-03	3.73965934e-06
1.0064643e-05  	-2.67709627e-03	3.73990107e-06
1.006483e-05   	-2.67727868e-03	3.74014360e-06
1.0065017e-05  	-2.67746169e-03	3.74038695e-06
1.0065203e-05  	-2.67764533e-03	3.74063112e-06
1.006539e-05   	-2.67782957e-03	3.74087610e-06
1.0065577e-05  	-2.67801439e-03	3.74112190e-06
1.0065764e-05  	-2.67819989e-03	3.74136854e-06
1.006595e-05   	-2.67838612e-03	3.74161603e-06
1.0066137e-05  	-2.67857296e-03	3.74186439e-06
1.0066324e-05  	-2.67876044e-03	3.74211364e-06
1.0066511e-05  	-2.67894844e-03	3.74236376e-06
1.0066698e-05  	-2.67913706e-03	3.74261478e-06
1.0066884e-05  	-2.67932633e-03	3.74286675e-06
1.0067071e-05  	-2.67951632e-03	3.74311966e-06
1.0067258e-05  	-2.67970706e-03	3.74337358e-06
1.0067445e-05  	-2.67989851e-03	3.74362854e-06
1.0067632e-05  	-2.68009079e-03	3.74388488e-06
1.0067818e-05  	-2.68028380e-03	3.74414239e-06
1.0068005e-05  	-2.68047756e-03	3.74440104e-06
1.0068192e-05  	-2.68067204e-03	3.74466083e-06
1.0068379e-05  	-2.68086728e-03	3.74492183e-06
1.0068566e-05  	-2.68106326e-03	3.74518403e-06
1.0068752e-05  	-2.68125999e-03	3.74544743e-06
1.0068939e-05  	-2.68145748e-03	3.74571200e-06
1.0069126e-05  	-2.68165569e-03	3.74597776e-06
1.0069313e-05  	-2.68185466e-03	3.74624471e-06
1.0069499e-05  	-2.68205434e-03	3.74651280e-06
1.0069686e-05  	-2.68225475e-03	3.74678203e-06
1.0069873e-05  	-2.68245586e-03	3.74705232e-06
1.007006e-05   	-2.68265774e-03	3.74732364e-06
1.0070247e-05  	-2.68286028e-03	3.74759592e-06
1.0070433e-05  	-2.68306350e-03	3.74786925e-06
1.007062e-05   	-2.68326730e-03	3.74814346e-06
1.0070807e-05  	-2.68347172e-03	3.74841851e-06
1.0070994e-05  	-2.68367672e-03	3.74869432e-06
1.007118e-05   	-2.68388227e-03	3.74897085e-06
1.0071367e-05  	-2.68408837e-03	3.74924820e-06
1.0071554e-05  	-2.68429508e-03	3.74952628e-06
1.0071741e-05  	-2.68450241e-03	3.74980522e-06
1.0071927e-05  	-2.68471032e-03	3.75008485e-06
1.0072114e-05  	-2.68491890e-03	3.75036544e-06
1.0072301e-05  	-2.68512805e-03	3.75064676e-06
1.0072488e-05  	-2.68533790e-03	3.75092902e-06
1.0072674e-05  	-2.68554845e-03	3.75121215e-06
1.0072861e-05  	-2.68575970e-03	3.75149623e-06
1.0073048e-05  	-2.68597162e-03	3.75178122e-06
1.0073234e-05  	-2.68618421e-03	3.75206709e-06
1.0073421e-05  	-2.68639748e-03	3.75235389e-06
1.0073608e-05  	-2.68661141e-03	3.75264160e-06
1.0073795e-05  	-2.68682608e-03	3.75293030e-06
1.0073981e-05  	-2.68704150e-03	3.75321997e-06
1.0074168e-05  	-2.68725767e-03	3.75351063e-06
1.0074355e-05  	-2.68747464e-03	3.75380230e-06
1.0074541e-05  	-2.68769269e-03	3.75409504e-06
1.0074728e-05  	-2.68791159e-03	3.75438882e-06
1.0074915e-05  	-2.68813125e-03	3.75468365e-06
1.0075102e-05  	-2.68835169e-03	3.75497955e-06
1.0075288e-05  	-2.68857287e-03	3.75527649e-06
1.0075475e-05  	-2.68879474e-03	3.75557441e-06
1.0075662e-05  	-2.68901736e-03	3.75587340e-06
1.0075848e-05  	-2.68924070e-03	3.75617339e-06
1.0076035e-05  	-2.68946478e-03	3.75647438e-06
1.0076222e-05  	-2.68968959e-03	3.75677639e-06
1.0076408e-05  	-2.68991532e-03	3.75707939e-06
1.0076595e-05  	-2.69014212e-03	3.75738345e-06
1.0076782e-05  	-2.69036974e-03	3.75768856e-06
1.0076968e-05  	-2.69059811e-03	3.75799469e-06
1.0077155e-05  	-2.69082720e-03	3.75830185e-06
1.0077342e-05  	-2.69105703e-03	3.75861002e-06
1.0077528e-05  	-2.69128759e-03	3.75891918e-06
1.0077715e-05  	-2.69151887e-03	3.75922938e-06
1.0077902e-05  	-2.69175088e-03	3.75954056e-06
1.0078088e-05  	-2.69198359e-03	3.75985270e-06
1.0078275e-05  	-2.69221698e-03	3.76016574e-06
1.0078462e-05  	-2.69245108e-03	3.76047970e-06
1.0078648e-05  	-2.69268588e-03	3.76079461e-06
1.0078835e-05  	-2.69292139e-03	3.76111044e-06
1.0079021e-05  	-2.69315761e-03	3.76142724e-06
1.0079208e-05  	-2.69339453e-03	3.76174498e-06
1.0079395e-05  	-2.69363216e-03	3.76206363e-06
1.0079581e-05  	-2.69387048e-03	3.76238311e-06
1.0079768e-05  	-2.69410949e-03	3.76270344e-06
1.0079954e-05  	-2.69434913e-03	3.76302452e-06
1.0080141e-05  	-2.69458944e-03	3.76334643e-06
1.0080328e-05  	-2.69483040e-03	3.76366912e-06
1.0080514e-05  	-2.69507202e-03	3.76399260e-06
1.0080701e-05  	-2.69531425e-03	3.76431679e-06
1.0080887e-05  	-2.69555712e-03	3.76464173e-06
1.0081074e-05  	-2.69580061e-03	3.76496741e-06
1.0081261e-05  	-2.69604470e-03	3.76529381e-06
1.0081447e-05  	-2.69628947e-03	3.76562088e-06
1.0081634e-05  	-2.69653502e-03	3.76594913e-06
1.008182e-05   	-2.69678121e-03	3.76627829e-06
1.0082007e-05  	-2.69702805e-03	3.76660831e-06
1.0082193e-05  	-2.69727556e-03	3.76693918e-06
1.008238e-05   	-2.69752371e-03	3.76727093e-06
1.0082566e-05  	-2.69777254e-03	3.76760353e-06
1.0082753e-05  	-2.69802200e-03	3.76793705e-06
1.0082939e-05  	-2.69827208e-03	3.76827138e-06
1.0083126e-05  	-2.69852285e-03	3.76860667e-06
1.0083312e-05  	-2.69877434e-03	3.76894285e-06
1.0083499e-05  	-2.69902648e-03	3.76927991e-06
1.0083685e-05  	-2.69927925e-03	3.76961783e-06
1.0083872e-05  	-2.69953267e-03	3.76995663e-06
1.0084058e-05  	-2.69978669e-03	3.77029628e-06
1.0084245e-05  	-2.70004138e-03	3.77063690e-06
1.0084431e-05  	-2.70029670e-03	3.77097838e-06
1.0084618e-05  	-2.70055268e-03	3.77132075e-06
1.0084804e-05  	-2.70080930e-03	3.77166399e-06
1.008499e-05   	-2.70106660e-03	3.77200817e-06
1.0085177e-05  	-2.70132457e-03	3.77235333e-06
1.0085363e-05  	-2.70158322e-03	3.77269939e-06
1.008555e-05   	-2.70184241e-03	3.77304643e-06
1.0085736e-05  	-2.70210218e-03	3.77339436e-06
1.0085923e-05  	-2.70236276e-03	3.77374327e-06
1.0086109e-05  	-2.70262403e-03	3.77409313e-06
1.0086295e-05  	-2.70288579e-03	3.77444386e-06
1.0086482e-05  	-2.70314829e-03	3.77479556e-06
1.0086668e-05  	-2.70341147e-03	3.77514815e-06
1.0086854e-05  	-2.70367523e-03	3.77550171e-06
1.0087041e-05  	-2.70393970e-03	3.77585621e-06
1.0087227e-05  	-2.70420479e-03	3.77621165e-06
1.0087413e-05  	-2.70447061e-03	3.77656806e-06
1.00876e-05    	-2.70473702e-03	3.77692540e-06
1.0087786e-05  	-2.70500408e-03	3.77728369e-06
1.0087972e-05  	-2.70527191e-03	3.77764294e-06
1.0088158e-05  	-2.70554034e-03	3.77800318e-06
1.0088345e-05  	-2.70580946e-03	3.77836449e-06
1.0088531e-05  	-2.70607942e-03	3.77872682e-06
1.0088717e-05  	-2.70635008e-03	3.77909018e-06
1.0088903e-05  	-2.70662143e-03	3.77945470e-06
