# time                
# Time                	cpu                   	clock                 	cpu/step              	clock/step            
3.20314366612043e-06  	1.906800000000000e+02	190	6.500000000000057e-01	0.000000000000000e+00
3.21529186596153e-06  	1.913200000000000e+02	191	6.399999999999864e-01	1.000000000000000e+00
3.22735527218539e-06  	1.919800000000000e+02	192	6.599999999999966e-01	1.000000000000000e+00
3.23931284598099e-06  	1.926200000000000e+02	192	6.400000000000148e-01	0.000000000000000e+00
3.25116932032899e-06  	1.932600000000000e+02	193	6.399999999999864e-01	1.000000000000000e+00
3.26292780728568e-06  	1.938900000000000e+02	193	6.299999999999955e-01	0.000000000000000e+00
3.27459693541508e-06  	1.945500000000000e+02	194	6.600000000000250e-01	1.000000000000000e+00
3.28618220347887e-06  	1.952000000000000e+02	195	6.499999999999773e-01	1.000000000000000e+00
3.29769027318336e-06  	1.958400000000000e+02	195	6.400000000000148e-01	0.000000000000000e+00
3.309120806248e-06    	1.964600000000000e+02	196	6.200000000000045e-01	1.000000000000000e+00
3.3204815017237e-06   	1.971000000000000e+02	197	6.399999999999864e-01	1.000000000000000e+00
3.33178243901164e-06  	1.977500000000000e+02	197	6.500000000000057e-01	0.000000000000000e+00
3.34303208611521e-06  	1.983800000000000e+02	198	6.299999999999955e-01	1.000000000000000e+00
3.35423739192484e-06  	1.990000000000000e+02	199	6.200000000000045e-01	1.000000000000000e+00
3.36540385785298e-06  	1.996200000000000e+02	199	6.200000000000045e-01	0.000000000000000e+00
3.37654329256678e-06  	2.002400000000000e+02	200	6.200000000000045e-01	1.000000000000000e+00
3.38763159377259e-06  	2.008700000000000e+02	200	6.299999999999955e-01	0.000000000000000e+00
3.39865034016928e-06  	2.014800000000000e+02	201	6.099999999999852e-01	1.000000000000000e+00
3.40960535827541e-06  	2.021100000000000e+02	202	6.300000000000239e-01	1.000000000000000e+00
3.42050105987064e-06  	2.027300000000000e+02	202	6.199999999999761e-01	0.000000000000000e+00
3.43134537818864e-06  	2.033400000000000e+02	203	6.100000000000136e-01	1.000000000000000e+00
3.44214241023491e-06  	2.039400000000000e+02	204	5.999999999999943e-01	1.000000000000000e+00
3.4528913646588e-06   	2.045700000000000e+02	204	6.299999999999955e-01	0.000000000000000e+00
3.46359740908498e-06  	2.051900000000000e+02	205	6.200000000000045e-01	1.000000000000000e+00
3.47427031152732e-06  	2.057900000000000e+02	205	5.999999999999943e-01	0.000000000000000e+00
3.48491614032278e-06  	2.064200000000000e+02	206	6.299999999999955e-01	1.000000000000000e+00
3.49554204408362e-06  	2.070500000000000e+02	207	6.300000000000239e-01	1.000000000000000e+00
3.5061225131063e-06   	2.076700000000000e+02	207	6.199999999999761e-01	0.000000000000000e+00
3.51664070337084e-06  	2.082700000000000e+02	208	6.000000000000227e-01	1.000000000000000e+00
3.5271030064826e-06   	2.088900000000000e+02	208	6.199999999999761e-01	0.000000000000000e+00
3.53751337628874e-06  	2.094900000000000e+02	209	6.000000000000227e-01	1.000000000000000e+00
3.54788122738759e-06  	2.100900000000000e+02	210	5.999999999999943e-01	1.000000000000000e+00
3.55821685948924e-06  	2.107000000000000e+02	210	6.099999999999852e-01	0.000000000000000e+00
3.56851716741838e-06  	2.113200000000000e+02	211	6.200000000000045e-01	1.000000000000000e+00
3.57878894871712e-06  	2.119300000000000e+02	212	6.100000000000136e-01	1.000000000000000e+00
3.58904325171099e-06  	2.125200000000000e+02	212	5.900000000000034e-01	0.000000000000000e+00
3.5992681914446e-06   	2.131200000000000e+02	213	5.999999999999943e-01	1.000000000000000e+00
3.60943168451878e-06  	2.137400000000000e+02	213	6.200000000000045e-01	0.000000000000000e+00
3.61953657688857e-06  	2.143400000000000e+02	214	5.999999999999943e-01	1.000000000000000e+00
3.62959296914892e-06  	2.149300000000000e+02	215	5.900000000000034e-01	1.000000000000000e+00
3.63960964174333e-06  	2.155400000000000e+02	215	6.099999999999852e-01	0.000000000000000e+00
3.64959620930041e-06  	2.161400000000000e+02	216	5.999999999999943e-01	1.000000000000000e+00
3.65955593679583e-06  	2.167400000000000e+02	216	6.000000000000227e-01	0.000000000000000e+00
3.66949819108512e-06  	2.173300000000000e+02	217	5.900000000000034e-01	1.000000000000000e+00
3.6794261001657e-06   	2.179500000000000e+02	218	6.199999999999761e-01	1.000000000000000e+00
3.68929501142593e-06  	2.185400000000000e+02	218	5.900000000000034e-01	0.000000000000000e+00
3.69910861495034e-06  	2.191500000000000e+02	219	6.100000000000136e-01	1.000000000000000e+00
3.70887543963443e-06  	2.197500000000000e+02	219	5.999999999999943e-01	0.000000000000000e+00
3.71860574729008e-06  	2.203500000000000e+02	220	5.999999999999943e-01	1.000000000000000e+00
3.72830859867098e-06  	2.209500000000000e+02	221	5.999999999999943e-01	1.000000000000000e+00
3.73798706367564e-06  	2.215400000000000e+02	221	5.900000000000034e-01	0.000000000000000e+00
3.74765192441222e-06  	2.221500000000000e+02	222	6.100000000000136e-01	1.000000000000000e+00
3.75729548197916e-06  	2.227600000000000e+02	222	6.099999999999852e-01	0.000000000000000e+00
3.76688140872398e-06  	2.233700000000000e+02	223	6.100000000000136e-01	1.000000000000000e+00
3.7764198286458e-06   	2.239800000000000e+02	224	6.099999999999852e-01	1.000000000000000e+00
3.78591682629398e-06  	2.245800000000000e+02	224	6.000000000000227e-01	0.000000000000000e+00
3.79538205828352e-06  	2.251800000000000e+02	225	5.999999999999943e-01	1.000000000000000e+00
3.8048259198661e-06   	2.257900000000000e+02	225	6.099999999999852e-01	0.000000000000000e+00
3.8142503515385e-06   	2.263900000000000e+02	226	5.999999999999943e-01	1.000000000000000e+00
3.82366555804285e-06  	2.270000000000000e+02	227	6.100000000000136e-01	1.000000000000000e+00
3.83303581665956e-06  	2.276100000000000e+02	227	6.100000000000136e-01	0.000000000000000e+00
3.84235612720263e-06  	2.282100000000000e+02	228	5.999999999999943e-01	1.000000000000000e+00
3.85163327567082e-06  	2.288200000000000e+02	228	6.099999999999852e-01	0.000000000000000e+00
3.86087742207254e-06  	2.294300000000000e+02	229	6.100000000000136e-01	1.000000000000000e+00
3.8700985157401e-06   	2.300400000000000e+02	230	6.099999999999852e-01	1.000000000000000e+00
3.8792984297495e-06   	2.306400000000000e+02	230	5.999999999999943e-01	0.000000000000000e+00
3.88848778936425e-06  	2.312500000000000e+02	231	6.100000000000136e-01	1.000000000000000e+00
3.89764824611326e-06  	2.318500000000000e+02	231	5.999999999999943e-01	0.000000000000000e+00
3.90675920096289e-06  	2.324400000000000e+02	232	5.900000000000034e-01	1.000000000000000e+00
3.91582973530299e-06  	2.330500000000000e+02	233	6.100000000000136e-01	1.000000000000000e+00
3.92486784745281e-06  	2.336800000000000e+02	233	6.299999999999955e-01	0.000000000000000e+00
3.93388390715181e-06  	2.342800000000000e+02	234	5.999999999999943e-01	1.000000000000000e+00
3.94288054660609e-06  	2.349100000000000e+02	234	6.299999999999955e-01	0.000000000000000e+00
3.95186708598802e-06  	2.355300000000000e+02	235	6.200000000000045e-01	1.000000000000000e+00
3.96082763575143e-06  	2.361300000000000e+02	236	5.999999999999943e-01	1.000000000000000e+00
3.9697416112818e-06   	2.367300000000000e+02	236	5.999999999999943e-01	0.000000000000000e+00
3.97861768655574e-06  	2.373300000000000e+02	237	6.000000000000227e-01	1.000000000000000e+00
3.98746513724342e-06  	2.379500000000000e+02	238	6.199999999999761e-01	1.000000000000000e+00
3.99629468799409e-06  	2.385500000000000e+02	238	6.000000000000227e-01	0.000000000000000e+00
4.0051080273232e-06   	2.391500000000000e+02	239	5.999999999999943e-01	1.000000000000000e+00
4.01391570619032e-06  	2.397600000000000e+02	239	6.099999999999852e-01	0.000000000000000e+00
4.02268716596312e-06  	2.403600000000000e+02	240	6.000000000000227e-01	1.000000000000000e+00
4.03141634402897e-06  	2.409600000000000e+02	241	5.999999999999943e-01	1.000000000000000e+00
4.04011308926286e-06  	2.415600000000000e+02	241	5.999999999999943e-01	0.000000000000000e+00
4.04878625330035e-06  	2.421700000000000e+02	242	6.099999999999852e-01	1.000000000000000e+00
4.0574453286317e-06   	2.428000000000000e+02	242	6.300000000000239e-01	0.000000000000000e+00
4.0660926972366e-06   	2.434100000000000e+02	243	6.099999999999852e-01	1.000000000000000e+00
4.07472916710541e-06  	2.440400000000000e+02	244	6.299999999999955e-01	1.000000000000000e+00
4.08332000275228e-06  	2.446500000000000e+02	244	6.100000000000136e-01	0.000000000000000e+00
4.09187406321756e-06  	2.452500000000000e+02	245	5.999999999999943e-01	1.000000000000000e+00
4.10039998782746e-06  	2.458600000000000e+02	245	6.100000000000136e-01	0.000000000000000e+00
4.10890851413499e-06  	2.464700000000000e+02	246	6.099999999999852e-01	1.000000000000000e+00
4.11740422526159e-06  	2.470700000000000e+02	247	5.999999999999943e-01	1.000000000000000e+00
4.1258969263931e-06   	2.476600000000000e+02	247	5.900000000000034e-01	0.000000000000000e+00
4.13435516221785e-06  	2.482500000000000e+02	248	5.900000000000034e-01	1.000000000000000e+00
4.14277476917708e-06  	2.488600000000000e+02	248	6.100000000000136e-01	0.000000000000000e+00
4.1511656327302e-06   	2.494700000000000e+02	249	6.099999999999852e-01	1.000000000000000e+00
4.15953670996752e-06  	2.500800000000000e+02	250	6.100000000000136e-01	1.000000000000000e+00
4.16789318945919e-06  	2.506600000000000e+02	250	5.799999999999841e-01	0.000000000000000e+00
4.17620041092335e-06  	2.512500000000000e+02	251	5.900000000000034e-01	1.000000000000000e+00
4.1844589474733e-06   	2.518600000000000e+02	251	6.100000000000136e-01	0.000000000000000e+00
4.19267076964098e-06  	2.524600000000000e+02	252	5.999999999999943e-01	1.000000000000000e+00
4.20083500732572e-06  	2.530500000000000e+02	253	5.900000000000034e-01	1.000000000000000e+00
4.20895358063018e-06  	2.536300000000000e+02	253	5.799999999999841e-01	0.000000000000000e+00
4.21702563307978e-06  	2.542300000000000e+02	254	5.999999999999943e-01	1.000000000000000e+00
4.22505236352199e-06  	2.548200000000000e+02	254	5.900000000000034e-01	0.000000000000000e+00
4.23301900365146e-06  	2.554000000000000e+02	255	5.800000000000125e-01	1.000000000000000e+00
4.24092840082658e-06  	2.560000000000000e+02	256	5.999999999999943e-01	1.000000000000000e+00
4.24878007937686e-06  	2.565900000000000e+02	256	5.899999999999750e-01	0.000000000000000e+00
4.25657550556921e-06  	2.571900000000000e+02	257	6.000000000000227e-01	1.000000000000000e+00
4.26431610096855e-06  	2.577800000000000e+02	257	5.899999999999750e-01	0.000000000000000e+00
4.27200201008054e-06  	2.583700000000000e+02	258	5.900000000000318e-01	1.000000000000000e+00
4.27963460440281e-06  	2.589500000000000e+02	259	5.799999999999841e-01	1.000000000000000e+00
4.28721461433278e-06  	2.595400000000000e+02	259	5.900000000000318e-01	0.000000000000000e+00
4.29474275538875e-06  	2.601300000000000e+02	260	5.899999999999750e-01	1.000000000000000e+00
4.30222031279516e-06  	2.607200000000000e+02	260	5.900000000000318e-01	0.000000000000000e+00
4.30964795791214e-06  	2.613100000000000e+02	261	5.899999999999750e-01	1.000000000000000e+00
4.31702691781668e-06  	2.619000000000000e+02	261	5.899999999999750e-01	0.000000000000000e+00
4.324357822895e-06    	2.624900000000000e+02	262	5.900000000000318e-01	1.000000000000000e+00
4.33164073696801e-06  	2.630900000000000e+02	263	5.999999999999659e-01	1.000000000000000e+00
4.33887737533889e-06  	2.636800000000000e+02	263	5.900000000000318e-01	0.000000000000000e+00
4.34606831893241e-06  	2.642500000000000e+02	264	5.699999999999932e-01	1.000000000000000e+00
4.35321360403595e-06  	2.648400000000000e+02	264	5.899999999999750e-01	0.000000000000000e+00
4.36031485775902e-06  	2.654300000000000e+02	265	5.900000000000318e-01	1.000000000000000e+00
4.36737209544661e-06  	2.660100000000000e+02	266	5.799999999999841e-01	1.000000000000000e+00
4.37438585620235e-06  	2.665800000000000e+02	266	5.699999999999932e-01	0.000000000000000e+00
4.381357177493e-06    	2.671700000000000e+02	267	5.900000000000318e-01	1.000000000000000e+00
4.38828656678371e-06  	2.677700000000000e+02	267	5.999999999999659e-01	0.000000000000000e+00
4.39517452250975e-06  	2.683600000000000e+02	268	5.900000000000318e-01	1.000000000000000e+00
4.40202153428927e-06  	2.689300000000000e+02	269	5.699999999999932e-01	1.000000000000000e+00
4.40882905251656e-06  	2.695200000000000e+02	269	5.899999999999750e-01	0.000000000000000e+00
4.41559704819395e-06  	2.701000000000000e+02	270	5.800000000000409e-01	1.000000000000000e+00
4.42232692237207e-06  	2.706900000000000e+02	270	5.899999999999750e-01	0.000000000000000e+00
4.42901816243631e-06  	2.712800000000000e+02	271	5.899999999999750e-01	1.000000000000000e+00
4.4356721331832e-06   	2.718600000000000e+02	271	5.800000000000409e-01	0.000000000000000e+00
4.44228970314835e-06  	2.724900000000000e+02	272	6.299999999999955e-01	1.000000000000000e+00
4.4488712659486e-06   	2.730800000000000e+02	273	5.899999999999750e-01	1.000000000000000e+00
4.45541720886386e-06  	2.736600000000000e+02	273	5.800000000000409e-01	0.000000000000000e+00
4.46192835666209e-06  	2.742500000000000e+02	274	5.899999999999750e-01	1.000000000000000e+00
4.46840551406164e-06  	2.748200000000000e+02	274	5.699999999999932e-01	0.000000000000000e+00
4.47484859725351e-06  	2.754000000000000e+02	275	5.799999999999841e-01	1.000000000000000e+00
4.48125839067784e-06  	2.759800000000000e+02	276	5.800000000000409e-01	1.000000000000000e+00
4.48763566011363e-06  	2.765600000000000e+02	276	5.799999999999841e-01	0.000000000000000e+00
4.49398031032885e-06  	2.771400000000000e+02	277	5.799999999999841e-01	1.000000000000000e+00
4.50029308841661e-06  	2.777200000000000e+02	277	5.800000000000409e-01	0.000000000000000e+00
4.5065747240748e-06   	2.783000000000000e+02	278	5.799999999999841e-01	1.000000000000000e+00
4.51282511190541e-06  	2.788800000000000e+02	278	5.799999999999841e-01	0.000000000000000e+00
4.51904536953605e-06  	2.794500000000000e+02	279	5.699999999999932e-01	1.000000000000000e+00
4.52523498153077e-06  	2.800300000000000e+02	280	5.799999999999841e-01	1.000000000000000e+00
4.53139464379003e-06  	2.806000000000000e+02	280	5.700000000000500e-01	0.000000000000000e+00
4.53752464284975e-06  	2.811700000000000e+02	281	5.699999999999932e-01	1.000000000000000e+00
4.54362565105306e-06  	2.817300000000000e+02	281	5.600000000000023e-01	0.000000000000000e+00
4.54969755324433e-06  	2.823100000000000e+02	282	5.799999999999841e-01	1.000000000000000e+00
4.5557406239912e-06   	2.828800000000000e+02	282	5.699999999999932e-01	0.000000000000000e+00
4.56175551303682e-06  	2.834600000000000e+02	283	5.799999999999841e-01	1.000000000000000e+00
4.56774210471208e-06  	2.840200000000000e+02	284	5.600000000000023e-01	1.000000000000000e+00
4.57370177859551e-06  	2.845800000000000e+02	284	5.600000000000023e-01	0.000000000000000e+00
4.57963477400843e-06  	2.851500000000000e+02	285	5.699999999999932e-01	1.000000000000000e+00
4.58554096150694e-06  	2.857300000000000e+02	285	5.800000000000409e-01	0.000000000000000e+00
4.59142058062442e-06  	2.863000000000000e+02	286	5.699999999999932e-01	1.000000000000000e+00
4.59727386770537e-06  	2.868600000000000e+02	286	5.600000000000023e-01	0.000000000000000e+00
4.60310105596168e-06  	2.874500000000000e+02	287	5.899999999999750e-01	1.000000000000000e+00
4.60890167002856e-06  	2.880200000000000e+02	288	5.699999999999932e-01	1.000000000000000e+00
4.61467629914231e-06  	2.885900000000000e+02	288	5.699999999999932e-01	0.000000000000000e+00
4.62042517352158e-06  	2.891600000000000e+02	289	5.700000000000500e-01	1.000000000000000e+00
4.62614852034585e-06  	2.897200000000000e+02	289	5.600000000000023e-01	0.000000000000000e+00
4.63184656380861e-06  	2.903100000000000e+02	290	5.899999999999750e-01	1.000000000000000e+00
4.6375195251694e-06   	2.908700000000000e+02	290	5.600000000000023e-01	0.000000000000000e+00
